year,statefp,puma5ce,lgbt_nonprofits,state
2008,39,00906,3.4372900396226562,Ohio
2008,39,00907,6.83526999316473e-4,Ohio
2008,39,04104,1.0640569395017794,Ohio
2008,39,04105,5.187270758646043,Ohio
2008,39,04106,0.3553299492385788,Ohio
2008,39,04107,2.225738547187753,Ohio
2008,39,04108,0.0198123044838373,Ohio
2008,39,04110,0.1477915009420138,Ohio
2008,39,04603,1,Ohio
2008,39,05504,2,Ohio
2008,40,01006,2,Oklahoma
2008,40,01201,2.0000000000000004,Oklahoma
2008,41,00703,1.0000000000000002,Oregon
2008,41,00705,0,Oregon
2008,41,01301,1.9042627533193568,Oregon
2008,41,01302,0.0957372466806429,Oregon
2008,41,01314,5.999999999999999,Oregon
2008,42,00500,0.9999999999999996,Pennsylvania
2008,42,01701,7.994413407821231,Pennsylvania
2008,42,01805,0.00558659217877096,Pennsylvania
2008,42,02401,0.9999999999999997,Pennsylvania
2008,42,02901,1,Pennsylvania
2008,42,03209,9,Pennsylvania
2008,42,03210,2,Pennsylvania
2008,44,00103,1.9952437574316293,Rhode Island
2008,44,00104,0.00475624256837099,Rhode Island
2008,45,00604,4,South Carolina
2008,46,00600,0.9999999999999998,South Dakota
2008,47,02503,3.2343712285783233,Tennessee
2008,47,02504,0.278783490224475,Tennessee
2008,47,02505,1.4868452811972004,Tennessee
2008,47,03201,0.9999999999999998,Tennessee
2008,48,02312,4.84512428298279,Texas
2008,48,02313,0.42509455621796954,Texas
2008,48,02314,0.7297811607992388,Texas
2008,48,02700,1,Texas
2008,48,04601,0.9966914805624477,Texas
2008,48,04603,0.0670136629798308,Texas
2008,48,04604,5.93298633702017,Texas
2008,48,04609,0.711641852770885,Texas
2008,48,04610,0.07397959183673472,Texas
2008,48,04611,0.2176870748299317,Texas
2008,48,05303,1.000281135788586,Texas
2008,48,05304,9.302756782321059e-4,Texas
2008,48,05306,1.9994377284228275,Texas
2008,48,05307,0.9993508601103537,Texas
2008,49,35002,3.9902486591906388,Utah
2008,49,35004,0.00975134080936128,Utah
2008,50,00100,3,Vermont
2008,51,51095,0.03491271820448874,Virginia
2008,51,51096,0.9650872817955121,Virginia
2008,51,51154,0.9979209979209984,Virginia
2008,51,51155,0.00207900207900208,Virginia
2008,51,51215,2,Virginia
2008,51,51225,0.44412400865176643,Virginia
2008,51,51235,5.55587599134823,Virginia
2008,51,55001,1,Virginia
2008,51,59301,0.7782340862422982,Virginia
2008,51,59303,0.1611909650924026,Virginia
2008,51,59305,0.00410677618069815,Virginia
2008,51,59308,0.0564681724845996,Virginia
2008,53,10501,5.21920668058455e-4,Washington
2008,53,10502,0.9906054279749482,Washington
2008,53,10503,0.008872651356993739,Washington
2008,53,11401,3,Washington
2008,53,11501,0.9548022598870054,Washington
2008,53,11504,0.0143884892086331,Washington
2008,53,11505,0.3014927041417714,Washington
2008,53,11506,0.7293165467625905,Washington
2008,53,11603,7.6602679452932545,Washington
2008,53,11604,8.181106323712585,Washington
2008,53,11605,0.1586257309941517,Washington
2008,53,11611,0,Washington
2008,55,00101,6,Wisconsin
2008,55,00900,1,Wisconsin
2008,55,10000,0.00895255147717099,Wisconsin
2008,55,30000,0.9910474485228294,Wisconsin
2008,55,40101,4.053403755868543,Wisconsin
2008,55,41002,0.00352112676056338,Wisconsin
2008,55,41003,0.943075117370892,Wisconsin
2008,56,00300,1,Wyoming
2008,NA,NA,NA,NA
2009,01,01302,2,Alabama
2009,01,02701,1.9999999999999998,Alabama
2009,02,00101,1,Alaska
2009,04,00115,2,Arizona
2009,04,00118,7,Arizona
2009,04,00202,0.7167338709677409,Arizona
2009,04,00204,0.001008064516129032,Arizona
2009,04,00206,1,Arizona
2009,04,00207,3.2812499999999942,Arizona
2009,04,00208,0.001008064516129032,Arizona
2009,06,00101,1.010932944606414,California
2009,06,00102,4.092989475487599,California
2009,06,00103,2.896077579905987,California
2009,06,00701,1,California
2009,06,01303,0.0101522842639594,California
2009,06,01304,0,California
2009,06,01306,0.228426395939086,California
2009,06,01307,0.7614213197969538,California
2009,06,01904,1,California
2009,06,03300,1,California
2009,06,03718,1.9885423297262887,California
2009,06,03719,0,California
2009,06,03720,0.6180422264875248,California
2009,06,03721,1.9842519685039361,California
2009,06,03722,0.015748031496063,California
2009,06,03727,1.0691145147316088,California
2009,06,03729,0.1387900355871887,California
2009,06,03730,10.039343988713421,California
2009,06,03731,7.919408791390421,California
2009,06,03732,10.148647553808656,California
2009,06,03733,2.689671876735506,California
2009,06,03734,0.2154367318898205,California
2009,06,03735,0.01145767027371102,California
2009,06,03736,1,California
2009,06,03744,0.240234375,California
2009,06,03745,0.24462890625,California
2009,06,03746,0.5592036255222841,California
2009,06,03747,0.2580467689013571,California
2009,06,03748,0.8594306049822056,California
2009,06,03765,2,California
2009,06,03766,3,California
2009,06,04101,1.0005212405525137,California
2009,06,04102,1.9994787594474839,California
2009,06,05904,0.9999999999999996,California
2009,06,05913,0.9730858468677496,California
2009,06,05916,0.02691415313225061,California
2009,06,06502,8.000000000000004,California
2009,06,06703,0.0493377483443709,California
2009,06,06704,0.5983443708609265,California
2009,06,06705,1,California
2009,06,06707,2.3523178807947014,California
2009,06,06709,1.0000000000000002,California
2009,06,07310,0.054592882454606674,California
2009,06,07314,0.0792926411865374,California
2009,06,07315,1.5915573302909318,California
2009,06,07316,12.08237731339003,California
2009,06,07317,2.1921798326778967,California
2009,06,07501,5.353296854069599,California
2009,06,07502,1.1321013107652338,California
2009,06,07503,33.7458948658111,California
2009,06,07504,20.40813446304767,California
2009,06,07505,0.28911564625850356,California
2009,06,07506,0.001245717844908128,California
2009,06,07507,0.0702111422030018,California
2009,06,07901,1.9938112429087158,California
2009,06,07902,0.00618875709128418,California
2009,06,08303,1.9999999999999984,California
2009,06,08503,0.4116355718657504,California
2009,06,08504,0.281572481572482,California
2009,06,08509,1.9190213901996929,California
2009,06,08510,1.3877705563620735,California
2009,06,08702,1,California
2009,06,09701,1.0090042372881356,California
2009,06,09702,5.29661016949153e-4,California
2009,06,09703,0.9904661016949151,California
2009,08,00100,0,Colorado
2009,08,00103,0.9982085274095307,Colorado
2009,08,00300,0.00179147259046937,Colorado
2009,08,00400,1,Colorado
2009,08,00803,1,Colorado
2009,08,00812,1.4152792464044557,Colorado
2009,08,00813,5.001907486886028,Colorado
2009,08,00814,4.487903082392966,Colorado
2009,08,00815,0,Colorado
2009,08,00816,0.0974866717440975,Colorado
2009,08,00817,2.3123509775870286,Colorado
2009,08,00818,0.6843109203624221,Colorado
2009,08,00820,7.61614623000762e-4,Colorado
2009,08,04102,0,Colorado
2009,08,04103,3.903086862885859,Colorado
2009,08,04105,0.0969131371141422,Colorado
2009,09,00103,1,Connecticut
2009,09,00302,3.958602846054335,Connecticut
2009,09,00303,0.0413971539456663,Connecticut
2009,09,00905,2,Connecticut
2009,10,00101,0.990083905415713,Delaware
2009,10,00103,0.0099160945842868,Delaware
2009,10,00300,0.9999999999999999,Delaware
2009,11,00101,0.061284046692606994,District of Columbia
2009,11,00102,1.1994649034637144,District of Columbia
2009,11,00103,1.4973614775725579,District of Columbia
2009,11,00104,0.001319261213720316,District of Columbia
2009,11,00105,39.2405703110574,District of Columbia
2009,12,01105,1.9891895568633071,Florida
2009,12,01107,0.5461912479740689,Florida
2009,12,01108,2.4646191951626255,Florida
2009,12,03102,0.391211906449326,Florida
2009,12,03103,0.22824156305506263,Florida
2009,12,03104,2.9603315571344e-4,Florida
2009,12,03105,0.6119005328596798,Florida
2009,12,03106,0.15956187092954394,Florida
2009,12,03107,1.6087880935506729,Florida
2009,12,05702,1,Florida
2009,12,06903,0.9999999999999994,Florida
2009,12,07102,1,Florida
2009,12,07104,0,Florida
2009,12,08603,0.00666296501943366,Florida
2009,12,08604,0.07162687395891179,Florida
2009,12,08605,2.8750694058856197,Florida
2009,12,08610,0,Florida
2009,12,08611,5.9421117063966715,Florida
2009,12,08612,4.103069194724767,Florida
2009,12,08613,0.00145985401459854,Florida
2009,12,08616,0.11810613943808526,Florida
