state,year,same_sex,coef,_se
Georgia,2014,TRUE,0.00601310449818263,0.00137194829242086
Georgia,2015,TRUE,0.0042184197968611,0.00149256515276962
Georgia,2016,TRUE,0.00649112749222498,0.00188423683523149
Georgia,2017,TRUE,0.01337102168028022,0.00242795928959059
Georgia,2018,TRUE,0.00851186103852602,0.00213578868243908
Georgia,2019,TRUE,0.00526138298426543,0.001381929237367
Georgia,2021,TRUE,0.00766413784423334,0.00179107484493332
Georgia,2022,TRUE,0.00445387170708774,0.00105130976104044
Hawaii,2008,TRUE,0.00425738119144578,0.00226323440955496
Hawaii,2009,TRUE,0.01157281429087238,0.00444513805176776
Hawaii,2010,TRUE,0.00534156329752598,0.00220621897140175
Hawaii,2011,TRUE,0.00354233593448362,0.00353400403281816
Hawaii,2012,TRUE,0.00932661817046075,0.00365108129757187
Hawaii,2013,TRUE,0.01296168653229522,0.00523847771268146
Hawaii,2014,TRUE,0.00772396427719076,0.00381653110486757
Hawaii,2015,TRUE,0.00526349368380796,0.00319227371522776
Hawaii,2016,TRUE,0.00502781517102845,0.00209094477945286
Hawaii,2017,TRUE,0.01353668590272202,0.00701506905838817
Hawaii,2018,TRUE,0.01362679937209962,0.00498051533736458
Hawaii,2019,TRUE,0.00753107403578819,0.00372030822469812
Hawaii,2021,TRUE,0.02537685538546248,0.00892239541704294
Hawaii,2022,TRUE,0.01408636341170146,0.00528339862216416
Idaho,2008,TRUE,0.00382619110998518,0.00382311600839181
Idaho,2009,FALSE,0,0
Idaho,2010,TRUE,0.00134584470463031,0.00134793955649221
Idaho,2011,FALSE,0,0
Idaho,2012,FALSE,0,0
Idaho,2013,TRUE,0.00365189403321933,0.00365131604621801
Idaho,2014,TRUE,0.00653497705504894,0.00651794911332505
Idaho,2015,FALSE,0,0
Idaho,2016,FALSE,0,0
Idaho,2017,TRUE,0.00321398949467174,0.00321499761073572
Idaho,2018,FALSE,0,0
Idaho,2019,TRUE,0.00157034103710865,0.00157463346190408
Idaho,2021,TRUE,0.00323213667341073,0.00323515611239403
Idaho,2022,FALSE,0,0
