year,statefp,puma5ce,immigrant_nonprofits,state
2008,24,00804,1.9915314043754413,Maryland
2008,24,01001,0.272431077694236,Maryland
2008,24,01003,0.0476190476190476,Maryland
2008,24,01005,0.7238095238095239,Maryland
2008,24,01006,0.9561403508771934,Maryland
2008,24,01102,0.13389121338912122,Maryland
2008,24,01105,0.866108786610879,Maryland
2008,25,00300,0.9999999999999999,Massachusetts
2008,25,00304,1,Massachusetts
2008,25,00507,0.9974293059125963,Massachusetts
2008,25,00508,0.0025706940874036,Massachusetts
2008,25,00701,0.997660818713451,Massachusetts
2008,25,01300,0.00233918128654971,Massachusetts
2008,25,02400,0,Massachusetts
2008,25,03301,0.00317460317460318,Massachusetts
2008,25,03302,1.0000000000000002,Massachusetts
2008,25,03303,0.9699248120300752,Massachusetts
2008,25,03304,0.0300751879699248,Massachusetts
2008,25,03400,1.9968253968253944,Massachusetts
2008,25,03500,0,Massachusetts
2008,25,03601,0.9999999999999994,Massachusetts
2008,25,03602,0,Massachusetts
2008,25,03603,1,Massachusetts
2008,25,03900,0,Massachusetts
2008,25,04000,0.9999999999999997,Massachusetts
2008,26,00100,1,Michigan
2008,26,00801,0.6603313840155947,Michigan
2008,26,00802,1.0000000000000002,Michigan
2008,26,00900,0.3396686159844054,Michigan
2008,26,01701,0.9975124378109453,Michigan
2008,26,02200,1.0000000000000002,Michigan
2008,26,03100,0.00248756218905473,Michigan
2008,26,03202,0.9543568464730283,Michigan
2008,26,03203,0.0016597510373444,Michigan
2008,26,03208,0.043983402489626594,Michigan
2008,27,00200,1.2950819672131146,Minnesota
2008,27,00300,0.7049180327868856,Minnesota
2008,27,00400,1.0000000000000002,Minnesota
2008,27,01402,1.0000000000000007,Minnesota
2008,27,01403,0.1056803170409512,Minnesota
2008,27,01404,0.8943196829590495,Minnesota
2008,27,01405,0.9999999999999998,Minnesota
2008,27,01406,1.4406368985808233,Minnesota
2008,27,01407,0.5593631014191757,Minnesota
2008,28,02000,1,Mississippi
2008,29,00903,0.9999999999999998,Missouri
2008,29,01804,0.0575501583949314,Missouri
2008,29,01805,1.124772983168153,Missouri
2008,29,01806,0.80623020063358,Missouri
2008,29,01808,5.27983104540655e-4,Missouri
2008,29,01901,0.01306690241093268,Missouri
2008,29,01902,2.997851772287861,Missouri
2008,30,00200,0.8,Montana
2008,30,00300,0.2,Montana
2008,31,00903,1.0000000000000002,Nebraska
2008,32,00402,7.68049155145929e-4,Nevada
2008,32,00405,1.8847926267281108,Nevada
2008,32,00406,1.1144393241167434,Nevada
2008,32,00410,0,Nevada
2008,33,00100,1,New Hampshire
2008,34,00101,1,New Jersey
2008,34,00301,0.9999999999999999,New Jersey
2008,34,00901,0,New Jersey
2008,34,00902,0.3445975989328588,New Jersey
2008,34,00906,1.6554024010671409,New Jersey
2008,34,01104,0.9450686641697876,New Jersey
2008,34,01105,0.0549313358302122,New Jersey
2008,35,00100,1,New Mexico
2008,35,00500,1,New Mexico
2008,35,00600,1.0000000000000002,New Mexico
2008,35,00700,0,New Mexico
2008,35,00801,6.31711939355654e-4,New Mexico
2008,35,00802,0.030953885028427,New Mexico
2008,35,00803,1.000000000000001,New Mexico
2008,35,00804,1.0984144030322174,New Mexico
2008,35,00805,0.02444444444444441,New Mexico
2008,35,00806,0.8455555555555558,New Mexico
2008,35,00900,1,New Mexico
2008,35,01001,0.3616438356164379,New Mexico
2008,35,01002,0.6383561643835621,New Mexico
2008,36,00901,0.6275430359937401,New York
2008,36,00906,0.3724569640062598,New York
2008,36,01204,0.9833333333333332,New York
2008,36,01205,0.01111111111111111,New York
2008,36,01206,0,New York
2008,36,01207,0.00555555555555556,New York
2008,36,03103,1.0000000000000004,New York
2008,36,03210,0.9839298758217682,New York
2008,36,03211,0.016070124178232302,New York
2008,36,03212,1,New York
2008,36,03704,0.06750241080038577,New York
2008,36,03705,1.3195059351413931,New York
2008,36,03706,0.4366837024417943,New York
2008,36,03707,0.0596252129471891,New York
2008,36,03709,0.1166827386692382,New York
2008,36,03801,0.9657894736842101,New York
2008,36,03802,0.034210526315789476,New York
2008,36,03805,0.9978880675818379,New York
2008,36,03806,1.0021119324181627,New York
2008,36,03807,1.0949664564779147,New York
2008,36,03808,0.9050335435220835,New York
2008,36,03809,1.4057089702370957,New York
2008,36,03810,3.5942910297629034,New York
2008,36,03902,0.32894736842105227,New York
2008,36,03903,1.6710526315789476,New York
2008,36,04006,0.0034965034965035,New York
2008,36,04007,0.7505827505827504,New York
2008,36,04008,0.00233100233100233,New York
2008,36,04010,0.23251748251748255,New York
2008,36,04011,0.01107226107226107,New York
2008,36,04014,0.2468694096601073,New York
2008,36,04015,0.7419499105545614,New York
2008,36,04016,0.0111806797853309,New York
2008,36,04017,0,New York
2008,36,04101,0.33327358260209294,New York
2008,36,04102,1.5143323152671808,New York
2008,36,04107,0.14387633769322242,New York
2008,36,04109,1.0062665262565047,New York
2008,36,04110,0.00225123818099955,New York
2008,37,01301,0.9978678038379538,North Carolina
2008,37,01400,0.002132196162046907,North Carolina
2008,37,02300,1,North Carolina
2008,37,03101,1,North Carolina
2008,37,03108,1,North Carolina
2008,37,04200,1,North Carolina
2008,38,00500,1.0000000000000004,North Dakota
2008,39,00904,0.028661227309658997,Ohio
2008,39,00905,0.7589058524173031,Ohio
2008,39,00906,1.2028726908275313,Ohio
2008,39,00907,0.009560229445506696,Ohio
2008,39,01801,0,Ohio
2008,39,01802,0.36772486772486773,Ohio
2008,39,01804,0.6322751322751323,Ohio
2008,39,02900,0.431818181818182,Ohio
2008,39,03000,0.5454545454545455,Ohio
2008,39,03500,0.0227272727272727,Ohio
2008,39,03600,0.9999999999999992,Ohio
2008,39,04103,0,Ohio
2008,39,04104,0.8879159369527144,Ohio
2008,39,04105,0.108581436077058,Ohio
2008,39,04107,0.9801876955161628,Ohio
2008,39,04108,0.0198123044838373,Ohio
2008,39,04110,0.00350262697022767,Ohio
2008,39,04602,0.3306451612903226,Ohio
2008,39,04603,0.6693548387096777,Ohio
2008,40,00100,2.0000000000000004,Oklahoma
2008,40,00702,1.0000000000000002,Oklahoma
2008,40,01001,0.00353045013239188,Oklahoma
2008,40,01005,0.5357458075904677,Oklahoma
2008,40,01006,0.46072374227714097,Oklahoma
2008,40,01202,1,Oklahoma
2008,40,01301,0,Oklahoma
2008,40,01302,0,Oklahoma
2008,41,00200,0,Oregon
2008,41,00800,0.9718969555035135,Oregon
2008,41,00902,0.02810304449648713,Oregon
2008,41,01301,0.9042627533193572,Oregon
2008,41,01302,1.0682581546854217,Oregon
2008,41,01303,0.9400826446280999,Oregon
2008,41,01305,0.0822311581109235,Oregon
2008,41,01316,1,Oregon
2008,41,01318,0.00516528925619835,Oregon
2008,42,01701,0.9986033519553077,Pennsylvania
2008,42,01802,0.26687234863092935,Pennsylvania
2008,42,01803,0.7331276513690698,Pennsylvania
2008,42,01805,0.00139664804469274,Pennsylvania
2008,42,01807,0,Pennsylvania
2008,42,02401,0.8605491329479769,Pennsylvania
2008,42,02402,0.1394508670520235,Pennsylvania
2008,42,03001,0.157446808510638,Pennsylvania
2008,42,03102,0.8425531914893613,Pennsylvania
2008,42,03103,0.8962042692024595,Pennsylvania
2008,42,03106,1.0000000000000004,Pennsylvania
2008,42,03209,0.9999999999999999,Pennsylvania
2008,42,03301,1.0919470542011542,Pennsylvania
2008,42,03302,0.01368691189050473,Pennsylvania
2008,42,03401,0.9981617647058822,Pennsylvania
2008,42,03402,0,Pennsylvania
2008,42,03601,0.9747211895910776,Pennsylvania
2008,42,03603,0.0252788104089219,Pennsylvania
2008,42,NA,0,Pennsylvania
2008,44,00101,0,Rhode Island
2008,44,00103,0.9992743105950652,Rhode Island
2008,44,00104,7.25689404934688e-4,Rhode Island
2008,45,00400,0,South Carolina
2008,45,00501,0.03803131991051458,South Carolina
2008,45,00502,1.9619686800894856,South Carolina
2008,45,00604,1,South Carolina
2008,45,00800,0.9999999999999999,South Carolina
2008,46,00100,0.9999999999999998,South Dakota
2008,47,01000,1,Tennessee
2008,47,01604,0.9999999999999993,Tennessee
2008,47,01900,1,Tennessee
2008,47,02003,0.9979035639412996,Tennessee
2008,47,02100,0.00209643605870021,Tennessee
2008,47,02401,0,Tennessee
2008,47,02501,0.8696343402225756,Tennessee
2008,47,02503,0.9999999999999997,Tennessee
2008,47,02504,0.13036565977742443,Tennessee
2008,47,02600,0.9999999999999993,Tennessee
2008,48,00200,0.9218181818181814,Texas
2008,48,00300,0.07818181818181814,Texas
2008,48,01901,7.2992700729927e-4,Texas
2008,48,02308,1,Texas
2008,48,02309,1.378832116788321,Texas
2008,48,02310,0.6204379562043797,Texas
2008,48,02400,1,Texas
2008,48,03400,0.99633923123856,Texas
2008,48,04601,1,Texas
2008,48,04636,1,Texas
2008,48,04901,0.9711709748133747,Texas
2008,48,04902,0.7825961212009437,Texas
2008,48,04903,0.20842572062084266,Texas
2008,48,04905,0.03780718336483936,Texas
2008,48,05304,6.49139889646219e-4,Texas
2008,48,05307,0.9993508601103537,Texas
2008,48,05309,0.0036607687614399,Texas
2008,48,05904,4.93096646942801e-4,Texas
2008,48,05905,0.26873767258382664,Texas
2008,48,05909,0.7209072978303751,Texas
2008,48,05910,0.00986193293885602,Texas
2008,49,35002,0.24839331619537316,Utah
2008,49,35004,0.6160025706940875,Utah
2008,49,35005,0.1356041131105398,Utah
2008,50,00300,1,Vermont
2008,51,51040,1,Virginia
2008,51,51135,0.9999999999999994,Virginia
2008,51,51224,0.26905829596412534,Virginia
2008,51,51225,1,Virginia
2008,51,51235,0.7309417040358744,Virginia
2008,51,51255,1.0000000000000004,Virginia
2008,51,59302,0.9984567901234578,Virginia
2008,51,59304,0.00154320987654321,Virginia
2008,53,10100,0.9999999999999997,Washington
2008,53,11603,0.17629362214199737,Washington
2008,53,11604,1.6650806468638502,Washington
2008,53,11605,0.8120348219032416,Washington
2008,53,11606,0.9983022071307294,Washington
2008,53,11607,0.00169779286926995,Washington
2008,53,11611,0.346590909090909,Washington
2008,53,11701,0,Washington
2008,53,11704,0,Washington
2008,54,00200,1.0000000000000007,West Virginia
2008,54,01100,1.0000000000000004,West Virginia
2008,55,00100,0.9999999999999999,Wisconsin
2008,55,00103,1,Wisconsin
2008,55,01400,1,Wisconsin
2008,55,40101,2,Wisconsin
2008,55,40701,0.004849660523763337,Wisconsin
2008,55,41002,0.36372453928225024,Wisconsin
2008,55,41003,0.5053346265761399,Wisconsin
2008,55,41004,0.12609117361784672,Wisconsin
2008,72,00801,0,NA
2008,72,00802,0.001394052044609664,NA
2008,72,00803,4.64684014869888e-4,NA
2008,72,00804,0.051115241635687765,NA
2008,72,00805,0.11059479553903348,NA
2008,72,00806,0.8215613382899621,NA
2008,72,00901,1.0023234200743498,NA
2008,72,00902,0.012546468401486988,NA
2008,72,01001,0,NA
2008,NA,NA,NA,NA
2009,01,00302,3,Alabama
2009,01,00600,1.0000000000000007,Alabama
2009,01,01301,0.0762711864406779,Alabama
2009,01,01302,1.5294259649836113,Alabama
2009,01,01303,2.394302848575713,Alabama
2009,01,02000,1,Alabama
2009,01,02703,1,Alabama
2009,02,00101,3.964492155243601,Alaska
2009,02,00102,1.0355078447563995,Alaska
2009,02,00200,1,Alaska
2009,02,00300,1.9999999999999993,Alaska
2009,02,00400,0,Alaska
2009,04,00102,0.5558412955916914,Arizona
2009,04,00103,0.9827604606061418,Arizona
2009,04,00104,1.4608485619502496,Arizona
2009,04,00108,0.00129065565307176,Arizona
2009,04,00109,1.998319176574786,Arizona
2009,04,00111,9.3984962406015e-4,Arizona
2009,04,00112,0,Arizona
2009,04,00115,0.4973513831665676,Arizona
2009,04,00116,1.0498905611261664,Arizona
2009,04,00118,3.673692372531993,Arizona
2009,04,00119,0.1204776958201616,Arizona
2009,04,00121,0.40252897787144365,Arizona
2009,04,00122,1.1571084847460358,Arizona
2009,04,00125,0.0989505247376312,Arizona
2009,04,00126,2,Arizona
2009,04,00129,1,Arizona
2009,04,00130,1,Arizona
2009,04,00202,0.9597633136094681,Arizona
2009,04,00203,1.0000000000000004,Arizona
2009,04,00204,0.9924242424242418,Arizona
2009,04,00206,1.3814734648067983,Arizona
2009,04,00208,1.0402366863905326,Arizona
2009,04,00209,0.6261022927689596,Arizona
2009,04,00300,0,Arizona
2009,05,00200,0.9999999999999997,Arkansas
2009,05,00600,1,Arkansas
2009,05,00800,1,Arkansas
2009,05,00900,1.0040677966101692,Arkansas
2009,05,01000,1.9959322033898308,Arkansas
2009,05,01100,1.0000000000000002,Arkansas
2009,05,01200,0.00290135396518375,Arkansas
2009,05,01600,0.9970986460348165,Arkansas
2009,06,00101,0.9999999999999999,California
2009,06,00102,5.998299768778799,California
2009,06,00103,1.9199963277371983,California
2009,06,00104,2.0817039034840015,California
2009,06,00105,3.0000000000000018,California
2009,06,00108,0.7784080960885249,California
2009,06,00109,2.222222222222222,California
2009,06,00110,0,California
2009,06,00701,1.0000000000000004,California
2009,06,00702,0,California
2009,06,01303,0.00123456790123457,California
2009,06,01304,2.5311623033410284,California
2009,06,01305,0.9999999999999994,California
2009,06,01306,0.46760312875773724,California
2009,06,01308,1.0000000000000002,California
2009,06,01500,3,California
2009,06,01902,1,California
2009,06,01903,1.5285338015803331,California
2009,06,01905,2.469710272168569,California
2009,06,01906,0.001755926251097452,California
2009,06,02300,1,California
2009,06,02500,1,California
2009,06,02903,1.5108333333333326,California
2009,06,02904,0.48916666666666697,California
