bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
Canada,Arkansas,2013,211,0,2900,15000,2012.4459931622648
Canada,Arkansas,2015,130,0,2840,15000,2014.475281210943
Canada,Florida,2008,7341,0,108662,15000,2007.3851584436422
Canada,Florida,2009,7488,0,100916,15000,2008.3995349918623
Canada,Florida,2010,7943,116,98908,15000,2009.4210251046024
Canada,Florida,2011,6719,0,101573,15000,2010.4264075692647
Canada,Florida,2012,8094,0,105892,15000,2011.4037884538916
Canada,Florida,2013,7487,164,114588,15000,2012.4459931622648
Canada,Florida,2014,7300,0,98977,15000,2013.3600231127987
Canada,Florida,2015,16300,51,112531,15000,2014.475281210943
Canada,Florida,2016,15306,403,109007,15000,2015.4737836445274
Canada,Florida,2017,15090,0,112376,15000,2016.4975922526405
Canada,Florida,2018,16374,576,116859,15000,2017.4850823729805
Canada,Florida,2019,9347,1071,106688,15000,2018.4991384615385
Canada,Georgia,2008,733,0,16132,15000,2007.3851584436422
Canada,Georgia,2009,275,0,18204,15000,2008.3995349918623
Canada,Georgia,2010,270,0,15724,15000,2009.4210251046024
Canada,Georgia,2011,69,0,13223,15000,2010.4264075692647
Canada,Georgia,2012,486,0,16147,15000,2011.4037884538916
Canada,Georgia,2014,31,0,22033,15000,2013.3600231127987
Canada,Georgia,2015,273,0,19344,15000,2014.475281210943
Canada,Georgia,2016,247,0,16445,15000,2015.4737836445274
Canada,Georgia,2017,101,0,19688,15000,2016.4975922526405
Canada,Georgia,2018,313,0,17369,15000,2017.4850823729805
Canada,Louisiana,2008,67,0,2174,15000,2007.3851584436422
Canada,Louisiana,2010,164,0,3292,15000,2009.4210251046024
Canada,Louisiana,2016,213,0,2440,15000,2015.4737836445274
Canada,Louisiana,2017,84,0,2508,15000,2016.4975922526405
Canada,Louisiana,2019,186,0,2799,15000,2018.4991384615385
Canada,Mississippi,2008,148,0,2214,15000,2007.3851584436422
Canada,Mississippi,2009,115,0,2177,15000,2008.3995349918623
Canada,Mississippi,2012,119,0,576,15000,2011.4037884538916
Canada,Mississippi,2015,150,0,1691,15000,2014.475281210943
Canada,Mississippi,2018,106,0,1432,15000,2017.4850823729805
Canada,Mississippi,2019,129,0,1499,15000,2018.4991384615385
Canada,North Carolina,2008,541,0,15591,15000,2007.3851584436422
Canada,North Carolina,2009,268,0,17307,15000,2008.3995349918623
Canada,North Carolina,2010,423,0,15884,15000,2009.4210251046024
Canada,North Carolina,2012,80,0,16908,15000,2011.4037884538916
Canada,North Carolina,2013,186,0,14048,15000,2012.4459931622648
Canada,North Carolina,2014,310,0,18153,15000,2013.3600231127987
Canada,North Carolina,2016,626,0,18724,15000,2015.4737836445274
Canada,North Carolina,2017,133,0,22334,15000,2016.4975922526405
Canada,North Carolina,2018,109,0,18749,15000,2017.4850823729805
Canada,North Carolina,2019,94,0,15313,15000,2018.4991384615385
Canada,South Carolina,2008,495,0,5708,15000,2007.3851584436422
Canada,South Carolina,2010,90,0,6472,15000,2009.4210251046024
Canada,South Carolina,2011,274,0,8359,15000,2010.4264075692647
Canada,South Carolina,2013,203,0,9595,15000,2012.4459931622648
Canada,South Carolina,2014,336,0,7378,15000,2013.3600231127987
Canada,South Carolina,2015,135,0,7572,15000,2014.475281210943
Canada,South Carolina,2016,205,0,8387,15000,2015.4737836445274
Canada,South Carolina,2017,107,0,8288,15000,2016.4975922526405
Canada,South Carolina,2018,348,0,9303,15000,2017.4850823729805
Canada,Texas,2008,1223,0,49247,15000,2007.3851584436422
Canada,Texas,2009,1418,52,40265,15000,2008.3995349918623
Canada,Texas,2010,2807,0,43227,15000,2009.4210251046024
Canada,Texas,2011,1608,0,51313,15000,2010.4264075692647
Canada,Texas,2012,1365,0,40837,15000,2011.4037884538916
Canada,Texas,2013,2063,0,49172,15000,2012.4459931622648
Canada,Texas,2014,1570,0,40786,15000,2013.3600231127987
Canada,Texas,2015,2545,0,50923,15000,2014.475281210943
Canada,Texas,2016,2381,237,43662,15000,2015.4737836445274
Canada,Texas,2017,2390,0,50554,15000,2016.4975922526405
Canada,Texas,2018,1878,142,52618,15000,2017.4850823729805
Canada,Texas,2019,1723,0,52806,15000,2018.4991384615385
Canada,Kentucky,2008,182,0,3433,15000,2007.3851584436422
Canada,Kentucky,2012,383,0,4398,15000,2011.4037884538916
Canada,Kentucky,2014,123,0,3241,15000,2013.3600231127987
Canada,Kentucky,2015,160,0,5156,15000,2014.475281210943
Canada,Kentucky,2017,186,0,3230,15000,2016.4975922526405
Canada,Kentucky,2019,183,0,3237,15000,2018.4991384615385
Canada,Maryland,2009,126,0,7167,15000,2008.3995349918623
Canada,Maryland,2011,108,0,10718,15000,2010.4264075692647
Canada,Maryland,2013,139,0,6447,15000,2012.4459931622648
Canada,Maryland,2014,244,0,9045,15000,2013.3600231127987
Canada,Maryland,2015,39,0,9588,15000,2014.475281210943
Canada,Maryland,2016,31,0,5303,15000,2015.4737836445274
Canada,Maryland,2017,113,0,8164,15000,2016.4975922526405
Canada,Maryland,2019,69,0,8587,15000,2018.4991384615385
Canada,Oklahoma,2009,412,0,4671,15000,2008.3995349918623
Canada,Oklahoma,2011,1279,0,4487,15000,2010.4264075692647
Canada,Oklahoma,2012,396,0,3716,15000,2011.4037884538916
Canada,Oklahoma,2016,205,0,2201,15000,2015.4737836445274
Canada,Oklahoma,2017,452,0,3096,15000,2016.4975922526405
Canada,Oklahoma,2018,238,0,5410,15000,2017.4850823729805
Canada,Tennessee,2009,273,0,8222,15000,2008.3995349918623
Canada,Tennessee,2012,50,0,10222,15000,2011.4037884538916
Canada,Tennessee,2013,23,0,7515,15000,2012.4459931622648
Canada,Tennessee,2014,156,0,8139,15000,2013.3600231127987
Canada,Tennessee,2016,45,0,6944,15000,2015.4737836445274
Canada,Tennessee,2017,189,0,6289,15000,2016.4975922526405
Canada,Tennessee,2018,116,0,7501,15000,2017.4850823729805
Canada,Tennessee,2019,60,0,7792,15000,2018.4991384615385
Canada,West Virginia,2009,79,0,760,15000,2008.3995349918623
Canada,West Virginia,2017,175,0,2024,15000,2016.4975922526405
