yrimmig,bpld,n_dif_sex,n_same_sex,n_spouse_dif_sex,n_spouse_same_sex,n_partner_dif_sex,n_partner_same_sex,n_spouse_oneimm_dif_sex,n_spouse_oneimm_same_sex,n_partner_oneimm_dif_sex,n_partner_oneimm_same_sex,n_spouse_adj_dif_sex,n_spouse_adj_same_sex,n_partner_adj_dif_sex,n_partner_adj_same_sex,n_spouse_2019_dif_sex,n_spouse_2019_same_sex,n_spouse_pre_2019_dif_sex,n_spouse_pre_2019_same_sex,n_partner_2019_dif_sex,n_partner_2019_same_sex,n_partner_pre_2019_dif_sex,n_partner_pre_2019_same_sex,n_total,n_spouse,n_partner,bpldid,prop_spouse_same_sex_adj,prop_partner_same_sex_adj,prop_same_sex_adj,prop_dif_sex,prop_spouse_same_sex,prop_partner_same_sex,prop_same_sex,prop_same_sex_oneimm
1937,Sweden,0,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Italy,3,0,3,0,0,0,3,0,0,0,1.404,0,0,0,0,0,3,0,0,0,0,0,NA,NA,NA,43400,NA,NA,NA,NA,NA,NA,NA,NA
1937,Italy,3,0,3,0,0,0,3,0,0,0,1.404,0,0,0,0,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Portugal,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,43600,NA,NA,NA,NA,NA,NA,NA,NA
1937,Portugal,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Austria,2,0,2,0,0,0,0,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,45000,NA,NA,NA,NA,NA,NA,NA,NA
1937,Austria,2,0,2,0,0,0,0,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Slovakia,1,0,1,0,0,0,1,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,45212,NA,NA,NA,NA,NA,NA,NA,NA
1937,Slovakia,1,0,1,0,0,0,1,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Germany,9,0,9,0,0,0,7,0,0,0,4.428,0,0,0,0,0,9,0,0,0,0,0,NA,NA,NA,45300,NA,NA,NA,NA,NA,NA,NA,NA
1937,Germany,9,0,9,0,0,0,7,0,0,0,4.428,0,0,0,0,0,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,Ukraine,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,46530,NA,NA,NA,NA,NA,NA,NA,NA
1937,Ukraine,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,China,2,0,2,0,0,0,0,0,0,0,1.2429999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA
1938,Canada,4,0,4,0,0,0,3,0,0,0,2.016,0,0,0,0,0,4,0,0,0,0,0,NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA
1938,Mexico,2,0,2,0,0,0,2,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA
1938,Mexico,2,0,2,0,0,0,2,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,Czech Republic,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,45213,NA,NA,NA,NA,NA,NA,NA,NA
1938,Czech Republic,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,Poland,2,0,2,0,0,0,0,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,45500,NA,NA,NA,NA,NA,NA,NA,NA
