State,State_Abb,Year,sodomy_illega,marriage_ban,marriage_equality,civil_union,employment_discrim_so,hate_crime_so,joint_adoption,adoption_religious_freedom,conversion_therapy_ban,housing_discrim_so,state_ban_local_nondiscrimimation,state_couple_laws
Iowa,IA,2004,0,0,0,0,0,1,0,0,0,0,0,0
Iowa,IA,2005,0,0,0,0,0,1,0,0,0,0,0,0
Iowa,IA,2006,0,0,0,0,0,1,0,0,0,0,0,0
Iowa,IA,2007,0,0,0,0,1,1,0,0,0,1,0,0
Iowa,IA,2008,0,0,0,0,1,1,0,0,0,1,0,0
Iowa,IA,2009,0,0,1,0,1,1,0,0,0,1,0,1
Iowa,IA,2010,0,0,1,0,1,1,0,0,0,1,0,1
Iowa,IA,2011,0,0,1,0,1,1,0,0,0,1,0,1
Iowa,IA,2012,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2013,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2014,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2015,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2016,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2017,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2018,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2019,0,0,1,0,1,1,1,0,0,1,0,2
Iowa,IA,2020,0,0,1,0,1,1,1,0,0,1,0,2
Kansas,KS,1991,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1992,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1993,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1994,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1995,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1996,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1997,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1998,1,0,0,0,0,0,0,0,0,0,0,-1
Kansas,KS,1999,1,0,0,0,0,0,0,0,0,0,0,-1
