bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
"Samoa, 1940-1950",Idaho,2015,81,0,81,10010,1986.9757033248081
"Samoa, 1940-1950",Idaho,2016,17,0,117,10010,1986.8374463519312
"Samoa, 1940-1950",Nevada,2008,275,0,319,10010,1984.4574853290048
"Samoa, 1940-1950",Nevada,2009,250,0,250,10010,1983.2596861547008
"Samoa, 1940-1950",Nevada,2010,187,0,187,10010,1987.3104357479879
"Samoa, 1940-1950",Nevada,2014,476,0,983,10010,1989.3461109043542
"Samoa, 1940-1950",Nevada,2015,75,0,75,10010,1986.9757033248081
"Samoa, 1940-1950",Nevada,2016,45,0,1116,10010,1986.8374463519312
"Samoa, 1940-1950",Nevada,2017,224,0,617,10010,1990.6920281626165
"Samoa, 1940-1950",Nevada,2018,114,0,114,10010,1990.1904521768365
"Samoa, 1940-1950",Utah,2008,551,0,1163,10010,1984.4574853290048
"Samoa, 1940-1950",Utah,2009,986,0,1226,10010,1983.2596861547008
"Samoa, 1940-1950",Utah,2010,1400,0,2263,10010,1987.3104357479879
"Samoa, 1940-1950",Utah,2011,688,0,1278,10010,1985.5930656934306
"Samoa, 1940-1950",Utah,2012,603,0,1215,10010,1984.8428713858425
"Samoa, 1940-1950",Utah,2013,1070,0,1516,10010,1988.0581167238843
"Samoa, 1940-1950",Utah,2014,1228,0,1684,10010,1989.3461109043542
"Samoa, 1940-1950",Utah,2015,1371,0,2102,10010,1986.9757033248081
"Samoa, 1940-1950",Utah,2016,781,0,801,10010,1986.8374463519312
"Samoa, 1940-1950",Utah,2017,266,0,363,10010,1990.6920281626165
"Samoa, 1940-1950",Utah,2018,1659,0,2725,10010,1990.1904521768365
"Samoa, 1940-1950",Utah,2019,694,0,759,10010,1988.8863432969392
"Samoa, 1940-1950",Wyoming,2010,7,0,7,10010,1987.3104357479879
"Samoa, 1940-1950",Wyoming,2015,27,0,27,10010,1986.9757033248081
"Samoa, 1940-1950",California,2008,2778,71,5480,10010,1984.4574853290048
"Samoa, 1940-1950",California,2009,2275,0,5138,10010,1983.2596861547008
"Samoa, 1940-1950",California,2010,1632,0,3660,10010,1987.3104357479879
"Samoa, 1940-1950",California,2011,1596,19,4595,10010,1985.5930656934306
"Samoa, 1940-1950",California,2012,1300,0,4318,10010,1984.8428713858425
"Samoa, 1940-1950",California,2013,1420,0,2536,10010,1988.0581167238843
"Samoa, 1940-1950",California,2014,996,0,3892,10010,1989.3461109043542
"Samoa, 1940-1950",California,2015,2594,19,6322,10010,1986.9757033248081
"Samoa, 1940-1950",California,2016,2282,0,4963,10010,1986.8374463519312
"Samoa, 1940-1950",California,2017,1680,0,2093,10010,1990.6920281626165
"Samoa, 1940-1950",California,2018,1685,0,4200,10010,1990.1904521768365
"Samoa, 1940-1950",California,2019,1251,0,2508,10010,1988.8863432969392
"Samoa, 1940-1950",Oregon,2008,163,0,549,10010,1984.4574853290048
"Samoa, 1940-1950",Oregon,2009,86,0,117,10010,1983.2596861547008
"Samoa, 1940-1950",Oregon,2011,585,0,585,10010,1985.5930656934306
"Samoa, 1940-1950",Oregon,2012,35,0,35,10010,1984.8428713858425
"Samoa, 1940-1950",Oregon,2014,229,0,229,10010,1989.3461109043542
"Samoa, 1940-1950",Oregon,2015,207,0,731,10010,1986.9757033248081
"Samoa, 1940-1950",Oregon,2016,11,0,25,10010,1986.8374463519312
"Samoa, 1940-1950",Oregon,2017,52,0,52,10010,1990.6920281626165
"Samoa, 1940-1950",Oregon,2018,0,47,47,10010,1990.1904521768365
"Samoa, 1940-1950",Washington,2008,755,0,1112,10010,1984.4574853290048
"Samoa, 1940-1950",Washington,2009,414,0,503,10010,1983.2596861547008
"Samoa, 1940-1950",Washington,2010,1337,0,3433,10010,1987.3104357479879
"Samoa, 1940-1950",Washington,2011,257,0,1200,10010,1985.5930656934306
