state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
Alaska,2015,FALSE,none,194920,1834,194920,1834,TRUE,Alaska_FALSE_none
Alaska,2015,FALSE,one,12715,98,12715,98,TRUE,Alaska_FALSE_one
Alaska,2015,FALSE,two,9708,69,9708,69,TRUE,Alaska_FALSE_two
Alaska,2015,TRUE,none,1250,8,1250,8,TRUE,Alaska_TRUE_none
Alaska,2015,TRUE,one,0,0,0,0,TRUE,Alaska_TRUE_one
Alaska,2015,TRUE,two,0,0,0,0,TRUE,Alaska_TRUE_two
Alaska,2016,FALSE,none,199070,1823,199070,1823,TRUE,Alaska_FALSE_none
Alaska,2016,FALSE,one,13750,102,13750,102,TRUE,Alaska_FALSE_one
Alaska,2016,FALSE,two,11651,62,11651,62,TRUE,Alaska_FALSE_two
Alaska,2016,TRUE,none,3124,12,3124,12,TRUE,Alaska_TRUE_none
Alaska,2016,TRUE,one,0,0,0,0,TRUE,Alaska_TRUE_one
Alaska,2016,TRUE,two,267,2,267,2,TRUE,Alaska_TRUE_two
Alaska,2017,FALSE,none,191722,1826,191722,1826,TRUE,Alaska_FALSE_none
Alaska,2017,FALSE,one,19008,107,19008,107,TRUE,Alaska_FALSE_one
Alaska,2017,FALSE,two,8924,45,8924,45,TRUE,Alaska_FALSE_two
Alaska,2017,TRUE,none,876,10,876,10,TRUE,Alaska_TRUE_none
Alaska,2017,TRUE,one,0,0,0,0,TRUE,Alaska_TRUE_one
Alaska,2017,TRUE,two,0,0,0,0,TRUE,Alaska_TRUE_two
Alaska,2018,FALSE,none,201323,1828,201323,1828,TRUE,Alaska_FALSE_none
Alaska,2018,FALSE,one,12412,107,12412,107,TRUE,Alaska_FALSE_one
Alaska,2018,FALSE,two,9444,69,9444,69,TRUE,Alaska_FALSE_two
Alaska,2018,TRUE,none,862,11,862,11,TRUE,Alaska_TRUE_none
Alaska,2018,TRUE,one,163,1,163,1,TRUE,Alaska_TRUE_one
Alaska,2018,TRUE,two,0,0,0,0,TRUE,Alaska_TRUE_two
Alaska,2019,FALSE,none,189003,1777,189003,1777,TRUE,Alaska_FALSE_none
Alaska,2019,FALSE,one,16750,91,16750,91,TRUE,Alaska_FALSE_one
Alaska,2019,FALSE,two,7636,56,7636,56,TRUE,Alaska_FALSE_two
Alaska,2019,TRUE,none,1904,12,1904,12,TRUE,Alaska_TRUE_none
Alaska,2019,TRUE,one,1940,2,1940,2,TRUE,Alaska_TRUE_one
Alaska,2019,TRUE,two,0,0,0,0,TRUE,Alaska_TRUE_two
Arizona,2008,FALSE,none,1454673,16253,1454673,16253,FALSE,Arizona_FALSE_none
Arizona,2008,FALSE,one,106013,1144,106013,1144,FALSE,Arizona_FALSE_one
Arizona,2008,FALSE,two,192533,1746,192533,1746,FALSE,Arizona_FALSE_two
Arizona,2008,TRUE,none,17876,213,17876,213,FALSE,Arizona_TRUE_none
Arizona,2008,TRUE,one,1121,14,1121,14,FALSE,Arizona_TRUE_one
Arizona,2008,TRUE,two,397,4,397,4,FALSE,Arizona_TRUE_two
