post_2013,origin_score,fit.low,fit.high,fit
Post-2013,-0.08163265306122414,0.3559706899570492,0.6383714321264976,0.49353448216303647
Post-2013,0.18367346938775508,0.3758021718739955,0.6608404914317674,0.5156791181621521
Post-2013,0.44897959183673475,0.394490481612727,0.6808616514391759,0.5378237541612677
Post-2013,0.7142857142857144,0.4166047900793956,0.7008828114465842,0.5599683901603834
Post-2013,0.9795918367346941,0.4388251110918752,0.7212830151499023,0.582113026159499
Post-2013,1.2448979591836737,0.4605592459229508,0.7431037957537672,0.6042576621586147
Post-2013,1.5102040816326534,0.48295181277586874,0.7676784530521191,0.6264022981577303
Post-2013,1.775510204081633,0.5057948219021965,0.792391835593959,0.64854693415684594
Post-2013,2.0408163265306127,0.518131237667485,0.8211562108441478,0.6706915701559616
Post-2013,2.3061224489795924,0.5307405492653963,0.8454399479763671,0.6928362061550772
Post-2013,2.571428571428572,0.5469572843266836,0.8747911909067504,0.7149808421541929
Post-2013,2.8367346938775517,0.5652534689740271,0.9051846829095197,0.7371254781533085
Post-2013,3.1020408163265314,0.5837479633535255,0.9337001617031563,0.7592701141524242
Post-2013,3.36734693877551,0.6008394823902814,0.9622156404967924,0.7814147501515397
Post-2013,3.63265306122449,0.6155610405227756,0.9927606608140975,0.8035593861506554
Post-2013,3.8979591836734695,0.626112264595972,1.0266959588522904,0.825704022149771
Post-2013,4.163265306122449,0.6363749965031866,1.0615619230071098,0.8478486581488867
Post-2013,4.428571428571429,0.6450922362007911,1.0944397834524686,0.8699932941480023
Post-2013,4.6938775510204085,0.6537389438075756,1.126772101041501,0.892137930147118
Post-2013,4.959183673469388,0.6641174756123476,1.1588355231567582,0.9142825661462336
Post-2013,5.224489795918368,0.6750498843557478,1.1912720541088233,0.9364272021453492
Post-2013,5.4897959183673475,0.6852476884248696,1.2240817643494646,0.9585718381444649
Post-2013,5.755102040816327,0.6945068432886027,1.258609257277798,0.9807164741435805
Post-2013,6.020408163265307,0.7037659981523358,1.2932299925365318,1.002861110142696
Post-2013,6.2857142857142865,0.7130251530160688,1.3281471789477106,1.0250057461418118
Post-2013,6.551020408163266,0.7222843078798018,1.3630643653588894,1.0471503821409274
Post-2013,6.816326530612246,0.7315434627435349,1.397981551770068,1.0692950181400431
Post-2013,7.0816326530612255,0.740802617607268,1.432898738181247,1.0914396541391587
Post-2013,7.346938775510205,0.750061772471001,1.4678159245924256,1.1135842901382744
Post-2013,7.612244897959185,0.759320927334734,1.5027331110036044,1.13572892613739
Post-2013,7.8775510204081645,0.7686331989670304,1.5358854178790575,1.1578735621365057
Post-2013,8.142857142857144,0.7794381124784093,1.5641284929304087,1.1800181981356213
Post-2013,8.408163265306124,0.7902430259897881,1.5923715679817594,1.202162834134737
Post-2013,8.673469387755103,0.801047939501167,1.621219808589795,1.2243074701338525
Post-2013,8.938775510204083,0.811852853012546,1.6533748436883746,1.2464521061329683
Post-2013,9.204081632653063,0.8226577665239247,1.6869643715285525,1.2685967421320838
Post-2013,9.469387755102042,0.8334626800353038,1.7205538993687304,1.2907413781311996
Post-2013,9.73469387755102,0.8442675935466826,1.7541434272089083,1.312886014130315
Post-2013,10,0.8550725070580615,1.7877329550490864,1.3350306501294307
