bpld,same_sex,coef,_low,_upp,n_same_sex,n,origin_score
France,TRUE,2.0900401520804466,1.6254904673065032,2.55458983685439,133,5924,6.3
Gambia,TRUE,0.3539528696313189,-0.3405806081676324,1.0484863474302701,1,271,0
Germany,TRUE,1.335740343892697,1.0843051300467879,1.5871755577386057,177,11447,3.4
Ghana,TRUE,0.37548593732018126,0.15715907152973893,0.5938128031106236,16,3986,0
Greece,TRUE,1.2885295603840323,0.5710315881242031,2.0060275326438615,18,1145,1.2
Guatemala,TRUE,0.6610872924214379,0.4852614756663342,0.8369131091765415,109,13502,2
Guinea,TRUE,1.0283302947743613,-0.6498267141729196,2.7064873037216426,3,361,0
Guyana/British Guiana,TRUE,0.5294605000243676,0.2575268628832492,0.8013941371654861,24,4969,0
Haiti,TRUE,0.5293146644545553,0.3176911172211887,0.7409382116879221,48,9256,2
Honduras,TRUE,0.8098186054699206,0.5605722312125756,1.0590649797272655,90,10322,0.9
Hungary,TRUE,1.1149437775001358,0.5355238163646805,1.694363738635591,19,1543,1.7
Iceland,TRUE,1.0163528568636393,-0.40377003130967015,2.4364757450369487,2,148,2.9
India,TRUE,0.22128390880121696,0.1800191742261661,0.26254864337626777,264,100768,0
Indonesia,TRUE,1.0635584908127902,0.647650882791489,1.4794660988340913,38,3070,-1
Iran,TRUE,0.4134950127548136,0.24566033108629498,0.5813296944233323,37,8633,-1.4
Iraq,TRUE,0.29836141607135785,0.06916403563852892,0.5275587965041868,16,5483,0
Ireland,TRUE,1.7331107469407132,1.1930851263469564,2.27313636753447,65,3484,4.3
Italy,TRUE,1.4666623861231365,1.084512364181456,1.848812408064817,71,4248,3.5
Jamaica,TRUE,0.6159748244795356,0.40350699558790976,0.8284426533711614,69,8891,-1
Japan,TRUE,0.8150351719150615,0.5547393718061432,1.0753309720239796,89,11835,3
Jordan,TRUE,0.5050352314996824,0.06273071393413411,0.9473397490652309,8,1852,2
Kazakhstan,TRUE,1.4126131484544897,0.12899278114302004,2.6962335157659596,10,1044,1.5
Kenya,TRUE,0.7480459657462083,0.24103939482893433,1.2550525366634824,24,3090,-0.2
Kirghizia,TRUE,0,0,0,0,145,1.6
Kuwait,TRUE,0.5994070381987712,-0.03859375686798873,1.237407833265531,4,783,-1
Laos,TRUE,0.3158783186176154,0.07993289527360448,0.5518237419616263,9,1645,2
Latvia,TRUE,0.344680614495117,-0.16218219543074533,0.8515434244209794,2,522,1.6
Lebanon,TRUE,0.6140988125386146,0.2590519902105975,0.9691456348666317,20,2764,-2
Liberia,TRUE,0.6366564680460048,-0.29251401121020437,1.5658269473022142,4,1330,0
Lithuania,TRUE,0.26232399629308545,-0.056167699596233356,0.5808156921824043,4,1260,1.7
Macedonia,TRUE,0.2371322802903553,-0.014568966623639077,0.4888335272043497,4,641,1.7
Malaysia,TRUE,2.48327067224705,1.7000250550053762,3.2665162894887247,58,2137,-1
Mexico,TRUE,0.4936355595293924,0.452499842545815,0.5347712765129699,1170,202586,2.5
Moldavia,TRUE,0.32903881242765953,0.04850326772292087,0.6095743571323982,6,1825,0.6
Mongolia,TRUE,2.355425601039636,-1.5883261752858222,6.299177377365095,3,148,2.1
Morocco,TRUE,0.3032866118898018,0.10329839385523416,0.5032748299243694,14,2865,-1
Nepal,TRUE,0.28940333607015994,0.08540585534357009,0.49340081679674974,14,3924,1.6
Netherlands,TRUE,2.5262309061248702,1.6487958519805728,3.403665960269167,57,2478,7.2
New Zealand,TRUE,2.4581227078996926,1.4226454095449763,3.493600006254409,34,1312,5.1
Nicaragua,TRUE,1.0550428841236716,0.6523127977821724,1.4577729704651707,41,2944,0.7
Nigeria,TRUE,0.3507798733929387,0.14125315646093645,0.560306590324941,26,8197,-1.2
Northern Ireland,TRUE,1.4352707119511154,-0.2544818403586184,3.1250232642608498,3,239,3.4
Norway,TRUE,1.4813595588840425,0.22980897941083533,2.7329101383572496,8,637,7.2
Other USSR/Russia,TRUE,0.6359719217573457,0.4641496575698709,0.8077941859448206,94,13895,1.2
Pakistan,TRUE,0.3500835636690879,0.17563021826757394,0.5245369090706018,41,10928,-1
Panama,TRUE,1.332723283942796,0.7572398773108657,1.9082066905747264,26,1591,-0.7
Paraguay,TRUE,0.9787347628792596,-0.06333989226384953,2.0208094180223686,5,409,-1
Peru,TRUE,0.6880700438748132,0.4972001867107408,0.8789399010388856,83,10996,1.7
Philippines,TRUE,0.9577477504589365,0.8426521319015214,1.0728433690163515,527,50734,1.3
Poland,TRUE,0.5711221968390134,0.40670053225347735,0.7355438614245495,80,11989,2.9
Portugal,TRUE,0.5690097424101928,0.20852921934983076,0.9294902654705548,11,1591,3.4
